"market","address","floor","city","state","postal","status","LATA","NPA","NXX","CLLI","SWCLLI","type","entranece","latitude","longitude","vcoordinate","hoordinate"
"Charlottesville, VA","212 7th St NE","2nd Floor","Charlottesville","VA","22902","Fiber Only","928","","","CHVLVALB","CHVLVAXA","Office","","38.0302240","-78.4766473","5918.10","1680.50"
"Chicago-Joliet-Naperville, IL-IN-WI","1567 E 93rd Ave","1st flr - basement","Merrillville","IN","46410","On-Net","358","","","MEVLIN24","MEVLINMX","Office","","41.4490920","-87.3183070","6044.60","3335.80"
"Denver-Aurora-Broomfield, CO","1850 Pearl St","000","Denver","CO","80203","On-Net","656","","318","DNVTCO56","DNVRCOCH","Data Center","","39.7455560","-104.9794460","7499.50","5896.40"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","1251 Avenue Of The Americas","(C-3 Lvl) Room 34","New York","NY","10020","Fiber Only","132","","","NYCMNY25","NYCMNY50","Office","","40.7596760","-73.9805600","4992.40","1407.30"
"Charlotte-Gastonia-Rock Hill, NC-SC","112 N Myers St","","Charlotte","NC","28202","Stubbed","422","","","CHRMNCLQ","CHRLNCCA","Carrier POP","Linear","35.2214442","-80.8353210","6657.50","1697.00"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","1400 Federal Blvd","1st Fl/NASDAQ","Carteret","NJ","07008","On-Net Restricted","224","","283","CARTNJAA","CARTNJCA","Private Data Center","","40.5837225","-74.2440654","5049.50","1418.90"
"Atlanta-Sandy Springs-Marietta, GA","56 Marietta St NW","5th Fl","Atlanta","GA","30303","On-Net","438","404","382","ATLNGAMQ","ATLNGACS","Neutral Data Center","","33.7554310","-84.3915610","7259.80","2085.20"
"Los Angeles-Long Beach-Santa Ana, CA","6721 Romaine St","1st Fl, Telco Rm","Los Angeles","CA","90038","On-Net","730","","308","HLWDCAAP","HLWDCA01","Office","","34.0890400","-118.3368100","9206.61","7892.61"
"Los Angeles-Long Beach-Santa Ana, CA","1146 N Las Palmas Ave","1st Fl, Data Rm","Los Angeles","CA","90038","On-Net","730","","308","LSAYCAFO","HLWDCA01","Office","","34.0914600","-118.3363800","9206.61","7892.61"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","787 7th Ave","4th FL","New York","NY","10019","On-Net","132","","218","NYCMNYRF","NYCMNY50","Finance","","40.7617400","-73.9820000","4991.86","1408.50"
"United Kingdom, GBR","14 Coriander Ave, Telehouse North","1st Floor/TFM-2","London","","E14 2AA","On-Net Restricted","","","","LONHEN13","","Neutral Data Center","","51.5119810","-0.0019320","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","425 3rd St SW","","Washington","DC","20024","Fiber Only","236","","","WASODCLQ","WASHDCSW","Office","","38.8834750","-77.0156320","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","7550 Wisconsin Ave","","Bethesda","MD","20814","Fiber Only","236","","","BTHSMDHR","CHCHMDBE","Office","","38.9856440","-77.0946770","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","6101 Executive Blvd","","Rockville","MD","20852","Fiber Only","236","","","RKVLMDGG","RKVLMDMR","Federal Government","","39.0495310","-77.1230910","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","60 Hudson St","3rd Fl, Suite 314","New York","NY","10013","Fiber Only","132","212","964","NYCMNYZR","NYCMNYVS","Carrier POP","Dual","40.7177198","-74.0087954","5002.50","1405.40"
"Los Angeles-Long Beach-Santa Ana, CA","600 W 7th St","4th/ Ste 411","Los Angeles","CA","90017","Fiber Only","730","213","217","LSANCAJW","LSANCA06","Neutral Data Center","Linear","34.0473360","-118.2574470","9213.80","7879.00"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","43830 Devin Shafron Dr","","Ashburn","VA","20147","Fiber Only","246","","","MRCRVA38","ASBNVAAS","Neutral Data Center","","39.0041820","-77.4841080","5639.80","1663.70"
"Los Angeles-Long Beach-Santa Ana, CA","600 W 7th St","5th Fl, Suite 500","Los Angeles","CA","90017","On-Net","730","213","217","LSANCAJW","LSANCA06","Neutral Data Center","Dual","34.0473360","-118.2574470","9213.80","7879.00"
"Los Angeles-Long Beach-Santa Ana, CA","600 W 7th St","6th Fl, Suite 600","Los Angeles","CA","90017","On-Net","730","213","217","LSANCAJW","LSANCA06","Neutral Data Center","Linear","34.0473360","-118.2574470","9213.80","7879.00"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","540 Gaither Rd","","Rockville","MD","20850","Fiber Only","236","","","RKVMMDIE","RKVLMDRV","Office","","39.1083930","-77.1757130","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","601 W 26th St","4th Floor","New York","NY","10001","On-Net","132","212","989","NYCPNYYK","NYCMNY36","Carrier POP","Dual","40.7515240","-74.0066150","4996.40","1409.70"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","601 W 26th St","6th Floor","New York","NY","10001","On-Net","132","212","989","NYCPNYYK","NYCMNY36","Carrier POP","Linear","40.7515240","-74.0066150","4996.40","1409.70"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","601 W 26th St","9th Floor","New York","NY","10001","Fiber Only","132","212","989","NYCPNYYK","NYCMNY36","Carrier POP","Linear","40.7515240","-74.0066150","4996.40","1409.70"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","800 16th St NW","WRAMC","Washington","DC","20006","Fiber Only","236","","","WASIDCMV","WASHDCMT","Hotel & Inn","","38.9004990","-77.0368820","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","666 3rd Ave","8th Floor","New York","NY","10017","On-Net","132","212","210","NYCMNYJM","NYCMNY37","Office","Linear","40.7513180","-73.9746440","4993.30","1405.40"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","1250 Maryland Ave SW","","Washington","DC","20024","Fiber Only","236","","","WASIDCFC","WASHDCSW","Office","","38.8837110","-77.0292100","",""
"Los Angeles-Long Beach-Santa Ana, CA","707 Wilshire Blvd","4th Fl, Suite 400","Los Angeles","CA","90017","Fiber Only","730","213","217","LSANCAFC","LSANCA06","Office","Linear","34.0492150","-118.2571540","9213.40","7879.10"
"Los Angeles-Long Beach-Santa Ana, CA","707 Wilshire Blvd","48th Fl, Suite 4850","Los Angeles","CA","90017","On-Net","730","213","217","LSANCAFC","LSANCA06","zColo Facility","Linear","34.0492150","-118.2571540","9213.40","7879.10"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","666 3rd Ave","Sub Basement","New York","NY","10017","On-Net","132","212","210","NYCMNYJM","NYCMNY37","Office","Dual","40.7513180","-73.9746440","4993.30","1405.40"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","44664 Guilford Dr","","Ashburn","VA","20147","Fiber Only","246","","","ASBNVADZ","ASBNVAAS","Data Center","","39.0226570","-77.4548690","5639.76","1663.70"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","75 Broad St","14th Floor","New York","NY","10004","On-Net","132","212","232","NYCMNYBX","NYCMNYBS","Neutral Data Center","Dual","40.7047540","-74.0112600","5005.10","1404.10"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","75 Broad St","16th Floor, Ste 1600","New York","NY","10004","On-Net","132","212","232","NYCMNYBX","NYCMNYBS","Carrier POP","Dual","40.7047540","-74.0112600","5005.10","1404.10"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","1 1st St NE","","Washington","DC","20543","Fiber Only","236","","","WASHDCPM","WASHDCSW","Federal Government","","38.8897950","-77.0090870","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","901 D St SW","","Washington","DC","20024","Fiber Only","236","","","WASHDCOY","WASHDCSW","Federal Government","","38.8851280","-77.0249200","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Bldg 430 Miller Dr","","Fort Detrick","MD","21702","Fiber Only","","","","FRDRMDVL","FRDRMDFR","Federal Government","","39.4332298","-77.4304757","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","3501 University Blvd E","","Hyattsville","MD","20783","Fiber Only","236","","","CLPKMDEW","HYVLMDRI","Hotel & Inn","","38.9859301","-76.9546580","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","1616 McCormick Dr","","Upper Marlboro","MD","20774","Fiber Only","236","","","UPMRMDCQ","UPMRMDCC","College/University","","38.9122350","-76.8475960","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","430 E St NW","","Washington","DC","20001","Fiber Only","236","","","WASODCYO","WASHDCDP","Federal Government","","38.8958180","-77.0183080","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","1777 N Kent St","","Arlington","VA","22209","Fiber Only","236","","218","ARTNVA31","ARTNVAAR","Office","","38.8967069","-77.0691476","5631.00",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","8301 Muirkirk Rd","","Beltsville","MD","20705","Fiber Only","236","","","BTVLMDHG","BTVLMDBV","Federal Government","","39.0537000","-76.8628100","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","520 Madison Ave","Basement","New York","NY","10022","On-Net","132","212","207","NYCMNY52","NYCMNY56","Office","Dual","40.7602770","-73.9743900","4991.70","1406.60"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","21615 Red Rum Dr","","Ashburn","VA","20147","Fiber Only","246","","","DLLSVA60","ASBNVAAS","Neutral Data Center","","39.0158430","-77.4816050","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","801 E 4th St","FTP Basement","Charlotte","NC","28202","Fiber Only","422","","","CHRXNCMN","CHRLNCCA","Local/State Government","Linear","35.2200440","-80.8362870","6657.90","1697.00"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","425 I St NW","","Washington","DC","20001","Fiber Only","236","","","WASHDC45","WASHDCDP","Federal Government","","38.9015960","-77.0169000","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","60 Hudson St","1st Floor Vault","New York","NY","10013","Fiber Only","132","212","964","NYCMNYZR","NYCMNYVS","Neutral Data Center","Dual","40.7177198","-74.0087954","5002.50","1405.40"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","60 Hudson St","9th Fl/900","New York","NY","10013","On-Net","132","212","964","NYCMNYZR","NYCMNYVS","Neutral Data Center","Dual","40.7177198","-74.0087954","5002.50","1405.40"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","60 Hudson St","10th Fl, Suite 1010","New York","NY","10013","Fiber Only","132","212","964","NYCMNYZR","NYCMNYVS","Carrier POP","Dual","40.7177198","-74.0087954","5002.50","1405.40"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","60 Hudson St","10th Fl, Suite 1000","New York","NY","10013","Fiber Only","132","212","964","NYCMNYZR","NYCMNYVS","Carrier POP","Dual","40.7177198","-74.0087954","5002.50","1405.40"
"Los Angeles-Long Beach-Santa Ana, CA","530 W 6th St","4th Fl/MMR","Los Angeles","CA","90014","On-Net","730","213","217","LSAJCAWZ","LSANCA03","Neutral Data Center","Dual","34.0483730","-118.2551930","9213.50","7878.70"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","2800 Powder Mill Rd","","Hyattsville","MD","20783","Fiber Only","236","","","ADLPMD28","HYVLMDRI","Federal Government","","39.0295041","-76.9647155","",""
"Los Angeles-Long Beach-Santa Ana, CA","530 W 6th St","2nd Floor","Los Angeles","CA","90014","Fiber Only","730","213","217","LSAJCAWZ","LSANCA03","Building Operated MMR","Dual","34.0483730","-118.2551930","9213.50","7878.70"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","405 Lexington Ave","2nd Floor","New York","NY","10174","On-Net","132","212","210","NYCMNYLI","NYCMNY37","Office","Dual","40.7517440","-73.9755820","4993.30","1405.60"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","6101 MacArthur Blvd","","Bethesda","MD","20816","Fiber Only","236","","","BTHSMDAR","BTHSMDWA","Federal Government","","38.9416140","-77.1146430","",""
"Los Angeles-Long Beach-Santa Ana, CA","530 W 6th St","Basement Suite B100","Los Angeles","CA","90014","Fiber Only","730","213","217","LSAJCAWZ","LSANCA03","Carrier POP","Dual","34.0483730","-118.2551930","9213.50","7878.70"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","6000 Executive Blvd","","Rockville","MD","20852","Fiber Only","236","","221","","RKVLMDMR","Federal Government","","39.0479533","-77.1205692","5603.00",""
"Los Angeles-Long Beach-Santa Ana, CA","1661 Lincoln Blvd","1st Fl","Santa Monica","CA","90404","On-Net","730","","267","SNMNCAIL","SNMNCAXJ","Office","","34.0159500","-118.4869100","9223.93","7917.32"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Andrews AFB Bldg 1558","","Andrews AFB","MD","20762","Fiber Only","","","","ANABMD10","","Federal Government","","38.8139827","-76.8886237","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","5516 Nicholson Ln","","Rockville","MD","20854","Fiber Only","236","","","RKVLMD27","BTHSMDBD","Federal Government","","39.0444670","-77.1076400","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","NASA Bldg 32","","Greenbelt","MD","20771","Fiber Only","","","","GRNBMD54","","Federal Government","","38.9940310","-76.8422220","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","14200 Shady Grove Rd","","Rockville","MD","20850","Fiber Only","236","","","RKVMMD27","RKVLMDRV","Office","","39.0936450","-77.2059960","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","1054 Doughten Pl","","Frederick","MD","21702","Fiber Only","240","","","FRDRMDKA","FRDRMDFR","Federal Government","","39.4385230","-77.4320260","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","165 Halsey St","5th Floor/Common Area","Newark","NJ","07102","On-Net","224","973","242","NWRKNJMD","NWRKNJ02","zColo Facility","Dual","40.7366860","-74.1740450","5015.60","1429.90"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","7601 Ora Glen Dr","","Greenbelt","MD","20770","Fiber Only","236","","","GRNBMDAD","CLPKMDBW","Office","","38.9900589","-76.8746185","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","51 Louisiana Ave NW","","Washington","DC","20001","Fiber Only","236","","","WASJDCXA","WASHDCDP","Office","","38.8940860","-77.0115180","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","820 W Diamond Ave","","Gaithersburg","MD","20878","Fiber Only","236","","","","GTBGMDGB","Office","","39.1424070","-77.2143400","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","6900 Georgia Ave Bldg 1","1st","Washington","DC","20037","Fiber Only","236","","","WASKDCYJ","WASHDCGG","Hospital","","38.9755470","-77.0295900","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","515 H St NW","","Washington","DC","20001","Fiber Only","236","","","WASPDCVW","WASHDCDP","Retail","","38.8999790","-77.0195100","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","325 Hudson St","4th Fl MMR","New York","NY","10013","On-Net","132","212","206","NYCMNYQO","NYCMNYVS","Carrier POP","Dual","40.7268630","-74.0077230","5000.90","1406.60"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","33 Thomas St","11th Floor","New York","NY","10007","On-Net","132","212","225","NYCMNYBW","NYCMNYWS","Carrier POP","Dual","40.7165450","-74.0060470","5002.50","1405.00"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","635 Massachusetts Ave NW","","Washington","DC","20001","Fiber Only","236","","208","WASHDCAZ","WASHDCMO","Office","","38.9018580","-77.0210040","5622.00",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","12725 Twinbrook Pkwy","","Rockville","MD","20852","Fiber Only","236","","","RKVLMDLL","RKVLMDMR","Office","","39.0648310","-77.1141590","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","405 Lexington Ave","6th Floor","New York","NY","10174","On-Net","132","212","210","NYCMNYLI","NYCMNY37","Office","","40.7517440","-73.9755820","4993.30","1405.60"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","5901 Ammendale Rd","","Beltsville","MD","20705","Fiber Only","236","","","BTVLMDJY","BTVLMDBV","Federal Government","","39.0553090","-76.9045420","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","165 Halsey St","8th Fl, Suite IDT","Newark","NJ","07102","On-Net","224","973","242","NWRKNJMD","NWRKNJ02","Carrier POP","Dual","40.7366860","-74.1740450","5015.60","1429.90"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","8901 Wisconsin Ave Bldg 2","","Bethesda","MD","20889","Fiber Only","236","","","BTHSMDGG","CHCHMDBE","Hospital","","39.0013629","-77.0941110","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","800 N Capitol St","","Washington","DC","20005","Fiber Only","236","","","WASIDCDH","WASHDCMO","Federal Government","","38.9005190","-77.0101040","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","1700 Broadway","Basement","New York","NY","10019","On-Net","132","212","218","NYCMNYUI","NYCMNY50","Office","Dual","40.7632510","-73.9824380","4992.00","1408.00"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","195 Broadway","Basement","New York","NY","10007","On-Net","132","212","225","NYCMNYAT","NYCMNYWS","Office","Dual","40.7107030","-74.0094850","5003.90","1404.70"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","10401 Fernwood Rd","","Bethesda","MD","20817","Fiber Only","236","","","BTHSMD94","BTHSMDBD","Federal Government","","39.0274640","-77.1366790","",""
"New York-Northern New Jersey-Long Island, NY-NJ-PA","25 Broadway","5th Fl, Suite DSR","New York","NY","10004","On-Net","132","212","514","NYCMNYCZ","NYCMNYBS","Office","Dual","40.7057320","-74.0139690","5005.20","1404.60"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","5413 W Cedar Ln","","Bethesda","MD","20814","Fiber Only","236","","","BTHSMDJE","CHCHMDBE","Office","","39.0053870","-77.1070390","",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV","1145 19th St NW","","Washington","DC","20036","Fiber Only","236","","","WASHDCVR","WASHDCMT","Office","","38.9050600","-77.0429800","",""
